Marca;;#;;Codigo;;Reff;;Descripcion;;Inv;;Foto
SIDERURGICO;;217;;1117043;;10704037;;TUBO RECTANGULAR 2"X1"X1.40X6MTS;;122;;
SIDERURGICO;;218;;1117034;;null;;TUBO RECTANGULAR 2"X1"X1.50X6MTS;;13;;
SIDERURGICO;;219;;1117039;;null;;TUBO RECTANGULAR 2"X1"X2.00X6MTS;;65;;
SIDERURGICO;;220;;1117021;;49;;TUBO RECTANGULAR 2"X1-1/2"X1.00X6MTS;;3;;
SIDERURGICO;;221;;1117033;;null;;TUBO RECTANGULAR 2-1/2"X1"X0.80X6MTS;;1;;
SIDERURGICO;;222;;1117009;;null;;TUBO RECTANGULAR 2-1/2"X1"X1.00X6MTS;;44;;
SIDERURGICO;;223;;1117010;;000090;;TUBO RECTANGULAR 2-1/2"X1-1/2"X1.00X6MTS;;5;;
SIDERURGICO;;224;;1117044;;10704132;;TUBO RECTANGULAR 2-1/2"X1-1/2"X1.20X6MTS;;103;;
SIDERURGICO;;225;;1117045;;10704059;;TUBO RECTANGULAR 2-1/2"X1-1/2"X1.40X6MTS;;102;;
SIDERURGICO;;226;;1117038;;null;;TUBO RECTANGULAR 2-1/2"X1-1/2"X2.25X6MTS;;113;;
SIDERURGICO;;227;;1117013;;000030;;TUBO RECTANGULAR 3"X1"X0.90X6MTS;;143;;
SIDERURGICO;;228;;1117015;;null;;TUBO RECTANGULAR 3"X1"X1.00X6MTS;;37;;
SIDERURGICO;;229;;1117014;;TR311106;;TUBO RECTANGULAR 3"X1"X1.10X6MTS;;63;;
SIDERURGICO;;230;;1117025;;null;;TUBO RECTANGULAR 3"X1"X1.20X6MTS;;89;;
SIDERURGICO;;231;;1117001;;null;;TUBO RECTANGULAR 3"X1"X1.50X6MTS;;50;;
SIDERURGICO;;232;;1117046;;10704224;;TUBO RECTANGULAR 3"X1"X2.00X6MTS;;48;;
SIDERURGICO;;233;;1117029;;000060;;TUBO RECTANGULAR 3"X1-1/2"X0.90X6MTS;;337;;
SIDERURGICO;;234;;1117040;;null;;TUBO RECTANGULAR 3"X1-1/2"X1.10X6MTS;;1;;
SIDERURGICO;;235;;1117041;;null;;TUBO RECTANGULAR 3"X1-1/2"X2.00X6MTS;;65;;
SIDERURGICO;;236;;1117024;;10704111;;TUBO RECTANGULAR 4"X2"X1.50X6MTS;;2;;
SIDERURGICO;;237;;1122007;;10709135;;TUBO REDONDO H.N VENTILACION 1/2X2.00MMX6MTS;;61;;
SIDERURGICO;;238;;1122008;;10709137;;TUBO REDONDO H.N VENTILACION 3/4X2.00MMX6MTS;;107;;
